0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:31 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:42 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:42 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:43 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:43 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:43 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:43 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:44 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:44 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:49:04 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:49:04 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:51:08 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:51:08 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:51:17 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:51:17 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:33 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:33 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
